"","city","city_eng","province","year","cityid","abv_prov","resid_price","resid_area","housing_price","CPI","nmzrk","each_salary","houseinvest_re","ind_area"
"113","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2011,6501,1,537.9185,225.5813,4898.431732,261.920959472656,243.6,47177.8,1600000,488.2568
"114","乌鲁木齐市","Urumichi","新疆维吾尔自治区",2012,6501,1,810.789,184.403,5110.56510381,303.566375732422,251.8,51134.9,1700000,301.7583
"115","乐山市","Leshan","四川省",2007,5111,0,625.3609,93.6675,1805,171.386596679688,115.15,15555.2,250315,91.0312
"116","乐山市","Leshan","四川省",2008,5111,0,961.6639,83.3571,2205,183.726440429688,115.3,18355.9,294296,278.5485
"117","乐山市","Leshan","四川省",2009,5111,0,6.032584,427.607,2280,205.957336425781,115.01,23112.7,321875,650.7428
"118","乐山市","Leshan","四川省",2010,5111,0,2120.207,365.5485,3146.5125877,234.173492431641,115.18,27199.6,456639,457.5295
"119","乐山市","Leshan","四川省",2011,5111,0,1360.246,248.7486,4072.942135,283.411041259766,115.5,31799.4,511731,619.8881
"120","乐山市","Leshan","四川省",2012,5111,0,1659.388,52.25434,4249.75922953,317.987213134766,115.8,37011.3,528251,175.3148
"121","九江市","Jiujiang","江西省",2007,3604,0,616.8445,205.0851,1808,190.849014282227,60.3,15872.5,308766,1393.465
"122","九江市","Jiujiang","江西省",2008,3604,0,608.6995,259.5982,2845.53538572304,219.094665527344,60.44,17795.6,287901,875.096
"123","九江市","Jiujiang","江西省",2009,3604,0,911.0674,572.7745,2964,246.043319702148,63.8,21053.3,400919,1140.548
"124","九江市","Jiujiang","江西省",2010,3604,0,1302.564,727.6597,2884.02154399,275.322448730469,64.23,24746.2,382119,1718.975
"125","九江市","Jiujiang","江西省",2011,3604,0,2007.164,723.2753,3538.936092,328.166778564453,64.3,29456,455249,1373.198
"126","九江市","Jiujiang","江西省",2012,3604,0,1366.493,322.7752,3652.14321655,362.624267578125,65,33894.9,481841,731.547
"127","云浮市","Yunfu","广东省",2007,4453,0,1012.112,26.2855,1678,195.651931762695,28.72,16928.3,74562,72.2361
"128","云浮市","Yunfu","广东省",2008,4453,0,986.5082,4.3872,2182,211.304061889648,29.22,19435.9,98124,24.264
"129","云浮市","Yunfu","广东省",2009,4453,0,522.2405,75.5463,2547,234.758834838867,29.63,21918.3,102535,96.9743
"130","云浮市","Yunfu","广东省",2010,4453,0,661.4565,37.2188,3381.44329897,255.887130737305,30.23,24764.8,151880,259.944
"131","云浮市","Yunfu","广东省",2011,4453,0,442.1971,106.4415,3800.278671,291.083129882812,30.6,30121.3,263896,546.6573
"132","云浮市","Yunfu","广东省",2012,4453,0,728.1337,165.1081,4094.42616238,315.243011474609,30.6,34885.5,263687,318.4475
"133","亳州市","Bozhou","安徽省",2007,3416,0,953.7951,27.8904,1563,192.233245849609,151.51,17118.8,64330,165.6888
"134","亳州市","Bozhou","安徽省",2008,3416,0,1443.75,73.4565,2018,213.186676025391,115.083076923077,20323.5,75369,29.3458
"135","亳州市","Bozhou","安徽省",2009,3416,0,988.9589,142.5756,2242,235.144897460938,115.083076923077,22950.7,145664,244.281
"136","亳州市","Bozhou","安徽省",2010,3416,0,1118.84,168.0086,2622.7929374,269.269134521484,161.65,26779.5,354671,224.6953
"137","亳州市","Bozhou","安徽省",2011,3416,0,2033.58,335.9787,3641,328.705169677734,115.083076923077,31756.9,442049,442.3562
"138","亳州市","Bozhou","安徽省",2012,3416,0,1598.871,210.3313,3625.80632356,350.399719238281,165.7,38425.6,486057,297.0453
"139","伊春市","Yichun","黑龙江省",2007,2307,0,227.2727,0.1518,1010,187.113616943359,81.26,9523.21,16094,3.68
"140","伊春市","Yichun","黑龙江省",2008,2307,0,146.7449,3.4008,1319,210.502807617188,81.08,12116,41493,24.1652
"141","伊春市","Yichun","黑龙江省",2009,2307,0,201.6367,4.5945,1515,233.868621826172,81.03,25500.143,72831,226.441163098592
"142","伊春市","Yichun","黑龙江省",2010,2307,0,261.2079,141.1918,1691.98895028,268.481170654297,80.85,15986.3,101034,57.7274
"143","伊春市","Yichun","黑龙江省",2011,2307,0,158.1874,26.3599,1906.54986,313.021148681641,80.3,18514.4,168364,15.4641
"144","伊春市","Yichun","黑龙江省",2012,2307,0,205.3856,24.99343,2239.5222209,331.176391601562,80.6,24193.1,148037,10.03359
"145","佛山市","Foshan","广东省",2007,4406,0,1491.966,971.2905,5275,195.651931762695,361.08,28331.4,2100000,1563.61
"146","佛山市","Foshan","广东省",2008,4406,0,4372.179,547.0829,5366,211.304061889648,364.34,31044.1,2700000,462.8294
"147","佛山市","Foshan","广东省",2009,4406,0,3156.75,991.626,6204,234.758834838867,367.63,31623.4709677419,2600000,561.8722
"148","佛山市","Foshan","广东省",2010,4406,0,4276.461,854.5502,7648.07419812,255.887130737305,370.89,37081.7,4e+06,593.7455
"149","佛山市","Foshan","广东省",2011,4406,0,5422.317,352.8086,8206.81386,291.083129882812,374.8,40664.9,4600000,784.3193
"150","佛山市","Foshan","广东省",2012,4406,0,6405.825,232.7411,7957.72189857,315.243011474609,377.7,46205.2,4300000,772.5759
"151","佳木斯市","Jiamusi","黑龙江省",2007,2308,0,164.8015,118.4723,1482,187.113616943359,82.51,14906.4,103184,25.2974
"152","佳木斯市","Jiamusi","黑龙江省",2008,2308,0,173.4707,182.2425,1743,210.502807617188,82.4,21876.7,134459,40.0134
"153","佳木斯市","Jiamusi","黑龙江省",2009,2308,0,157.8441,88.0846,2238,233.868621826172,81.49,23220.4,198966,79.1171
"154","佳木斯市","Jiamusi","黑龙江省",2010,2308,0,117.3746,522.1855,2434.09316155,268.481170654297,82,27033,468387,292.5151
"155","佳木斯市","Jiamusi","黑龙江省",2011,2308,0,143.0621,399.5052,2675.923995,313.021148681641,81.6,30469.8,534511,219.214
"156","佳木斯市","Jiamusi","黑龙江省",2012,2308,0,180.4129,54.87069,2745.4713806,331.176391601562,80.8,38180.6,594216,86.34663
"157","保定市","Baoding","河北省",2007,1306,0,462.4868,475.1221,1936,206.781051635742,106.08,17892,612104,527.9358
"158","保定市","Baoding","河北省",2008,1306,0,745.8627,355.2755,2179,229.526977539062,105.53,21765,612104,564.5634
"159","保定市","Baoding","河北省",2009,1306,0,446.4378,404.3597,2384,257.070220947266,106.25,24967.7,1400000,1205.315
"160","保定市","Baoding","河北省",2010,1306,0,1183.035,772.1768,2616.46373743,284.319671630859,106.1,28090.9,2200000,1019.842
"161","保定市","Baoding","河北省",2011,1306,0,1061.5,609.2005,2981.6936,337.041625976562,108.1,32277.7,3100000,1033.589
"162","保定市","Baoding","河北省",2012,1306,0,1273.262,303.5506,3157.8955892,364.342010498047,108.3,34913.5,3e+06,631.1166
"163","保山市","Baoshan","云南省",2007,5305,0,1189.768,76.0155,6781,128.184585571289,87.25,15291.5,56791,23.6274
"164","保山市","Baoshan","云南省",2008,5305,0,427.1193,42.91393,2078,134.465621948242,88.14,19365,118411,11.6709
"165","保山市","Baoshan","云南省",2009,5305,0,509.2095,110.7268,2333,150.467025756836,89.05,21407.6,129516,47.3128
"166","保山市","Baoshan","云南省",2010,5305,0,471.2658,260.9483,2694.24964937,168.974472045898,90,22694.6,167415,120.6302
"167","保山市","Baoshan","云南省",2011,5305,0,434.4901,363.5078,3066.761364,205.375457763672,90.5,26904,233403,147.5429
"168","保山市","Baoshan","云南省",2012,5305,0,434.3451,350.1169,4081.89655172,233.511901855469,91.1,31085.7,350650,99.20351
"169","信阳市","Xinyang","河南省",2007,4115,0,266.5779,730.1953,1486,184.211807250977,141.82,15166.6,432366,137.9181
"170","信阳市","Xinyang","河南省",2008,4115,0,436.3781,305.3273,1489,210.554092407227,143.56,18413.4,742839,194.6694
"171","信阳市","Xinyang","河南省",2009,4115,0,601.0422,330.1311,1707,238.136672973633,145.75,21408.3,883866,122.6841
"172","信阳市","Xinyang","河南省",2010,4115,0,706.7651,520.0693,1937.66720171,271.713958740234,147.72,24706,1200000,148.2323
"173","信阳市","Xinyang","河南省",2011,4115,0,1020.122,369.3305,2568.8017,317.995819091797,149.1,26832.6,1300000,342.6698
"174","信阳市","Xinyang","河南省",2012,4115,0,1055.4,129.0648,2991.69285918,351.067352294922,149,30491,1500000,190.2028
"175","克拉玛依市","Karamay","新疆维吾尔自治区",2007,6502,0,96.64877,10.0908,1529,165.085174560547,35.34,30884,53857,22.8009
"176","克拉玛依市","Karamay","新疆维吾尔自治区",2008,6502,0,126.7328,21.0089,1431,174.825210571289,38.62,34319.2,72422,49.4981
"177","克拉玛依市","Karamay","新疆维吾尔自治区",2009,6502,0,2260.515,48.04285,3072.61364165455,188.811218261719,39.35,37451.8,89079,210.0378
"178","克拉玛依市","Karamay","新疆维吾尔自治区",2010,6502,0,174.5848,17.3353,2439.63963964,217.888137817383,37.51,38576.3,64487,141.8936
"179","克拉玛依市","Karamay","新疆维吾尔自治区",2011,6502,0,307.5504,33.80224,2622.413431,261.920959472656,37.8,59151.4,96139,438.8446
"180","克拉玛依市","Karamay","新疆维吾尔自治区",2012,6502,0,315.4424,46.25598,2741.74494507,303.566375732422,37.6,39845.0363636364,237629,126.519
"181","六安市","liuan","安徽省",2007,3415,0,382.8498,296.1377,1968,192.233245849609,182.76,17400.7,251688,464.7972
"182","六安市","liuan","安徽省",2008,3415,0,435.9638,280.5721,2245,213.186676025391,184.13,20838.4,288206,374.0665
"183","六安市","liuan","安徽省",2009,3415,0,1164.12,139.201,2565,235.144897460938,185.15,24000.1,329694,268.1609
"184","六安市","liuan","安徽省",2010,3415,0,1280.961,373.6067,3220.75172049,269.269134521484,186.52,27084.4,457806,442.623
"185","六安市","liuan","安徽省",2011,3415,0,1202.073,577.488,4053,328.705169677734,187.4,27489.5,660111,920.235
"186","六安市","liuan","安徽省",2012,3415,0,791.7408,192.3566,4341.14238087,350.399719238281,187.1,36913.3,872676,607.1761
"187","六盘水市","Liupanshui","贵州省",2007,5202,0,554.6788,16.3407,1770,157.825469970703,48.63,22520.3,100979,35.5748
"188","六盘水市","Liupanshui","贵州省",2008,5202,0,444.4201,23.0419,1788,163.349349975586,50.16,25795.1,104740,42.8347
"189","六盘水市","Liupanshui","贵州省",2009,5202,0,252.3969,36.9951,1774,182.134536743164,52.95,27931.3,139398,159.7136
"190","六盘水市","Liupanshui","贵州省",2010,5202,0,857.0704,14.1889,2317.49241658,207.086975097656,49.59,33983,172810,140.7476
"191","六盘水市","Liupanshui","贵州省",2011,5202,0,1345.921,14.70458,2539.361702,246.060516357422,49.7,39873.1,215587,386.3914
"192","六盘水市","Liupanshui","贵州省",2012,5202,0,999.5998,71.42334,2807.03273861,268.698089599609,49.9,43815.5,303217,274.028
"193","兰州市","Lanzhou","甘肃省",2007,6201,0,2288.841,60.8627,2919.6160171,185.605056762695,208.03,21018.9,464361,531.0381
"194","兰州市","Lanzhou","甘肃省",2008,6201,0,1518.153,153.8148,3062,197.298187255859,209.99,26119.9,591235,427.714
"195","兰州市","Lanzhou","甘肃省",2009,6201,0,1613.305,194.107,3499,211.306350708008,210.47,28995.6,516985,148.2958
"196","兰州市","Lanzhou","甘肃省",2010,6201,0,1854.521,409.9645,4063.82978723,231.169158935547,210.36,33963.8,703008,208.3256
"197","兰州市","Lanzhou","甘肃省",2011,6201,0,3572.133,166.3009,4050.421171,277.83203125,209.1,38968.1,890499,2640.705
"198","兰州市","Lanzhou","甘肃省",2012,6201,0,1215.39,80.02059,5130.4523307,310.6162109375,206.4,44488.4,1400000,172.7752
"199","内江市","Neijiang","四川省",2007,5110,0,661.5494,57.5994,1277,171.386596679688,140.63,16771.3,180401,30.0227
"200","内江市","Neijiang","四川省",2008,5110,0,426.673,23.3082,1779,183.726440429688,141.26,19118.1,238450,195.7004
"201","内江市","Neijiang","四川省",2009,5110,0,957.5932,42.4953,2100,205.957336425781,141.73,23217.8,251650,128.1028
"202","内江市","Neijiang","四川省",2010,5110,0,1497.893,196.6502,2617.25394897,234.173492431641,141.45,26496.9,327277,294.5019
"203","内江市","Neijiang","四川省",2011,5110,0,2300.648,174.2446,3442.009414,283.411041259766,142,32200.8,424699,390.1633
"204","内江市","Neijiang","四川省",2012,5110,0,1866.084,92.71158,3503.44312176,317.987213134766,142.2,36820.1,449842,125.8637
"205","包头市","Baotou","内蒙古自治区",2007,1502,1,214.8561,280.3716,2635,215.311431884766,139.11,26870.1,682332,844.6928
"206","包头市","Baotou","内蒙古自治区",2008,1502,1,230.4526,376.443,2880,238.34977722168,140.46,31775.7,1200000,865.1041
